rank	source_rank	word	count
1	1	לא	5020713
2	2	את	4846155
3	3	אני	4542964
4	4	זה	3965637
5	5	אתה	2209686
6	6	מה	2185556
7	7	הוא	1542014
8	8	על	1433417
9	9	לי	1398533
10	10	של	1237775
11	11	כן	1217972
12	12	לך	1096139
13	13	אבל	982140
14	14	יש	894061
15	15	שלי	866109
16	16	כל	854228
17	17	בסדר	837200
18	18	עם	822686
19	19	היא	819212
20	20	שלך	794526
21	21	אם	784826
22	22	טוב	756941
23	23	היה	726660
24	24	אנחנו	703852
25	25	רוצה	697126
26	26	אז	672967
27	27	יודע	621357
28	28	רק	588280
29	29	הם	582297
30	30	יכול	568603
31	31	אותו	557493
32	32	אותך	552982
33	33	יותר	513104
34	35	כאן	464763
35	36	אותי	463016
36	37	הזה	458330
37	38	שאני	457238
38	39	למה	446960
39	40	להיות	444663
40	41	עכשיו	427441
41	42	או	426276
42	43	אחד	411425
43	44	משהו	408759
44	45	היי	402328
45	46	צריך	385945
46	47	כמו	384782
47	48	אל	372777
48	49	כך	370516
49	50	איך	369797
50	51	אין	356926
51	52	נכון	356275
52	53	לעשות	356015
53	54	תודה	347886
54	55	לו	329108
55	56	לנו	326243
56	57	שאתה	323270
57	58	מי	320967
58	59	זאת	317659
59	60	שם	317112
60	61	חושב	312536
61	62	כדי	307004
62	63	שהוא	306651
63	64	כמה	303974
64	65	פשוט	296462
65	66	יודעת	294931
66	67	אותה	290629
67	68	אולי	289547
68	69	באמת	288509
69	70	כי	284625
70	71	הייתי	284462
71	72	שזה	279818
72	73	גם	278375
73	74	זו	269029
74	75	עושה	259254
75	76	האם	253962
76	77	ואני	251631
77	78	דבר	250435
78	79	שלו	249809
79	80	עוד	242627
80	81	כבר	240024
81	82	שלא	237818
82	83	נראה	233617
83	84	שלנו	232906
84	85	מאוד	219780
85	86	לפני	213831
86	87	הרבה	212974
87	88	בבקשה	210405
88	89	הולך	209279
89	90	קדימה	206030
90	91	אומר	205303
91	92	יהיה	202862
92	93	יכולה	201187
93	94	פעם	201053
94	95	זמן	199628
95	96	אתם	198732
96	97	עדיין	198438
97	98	עד	197041
98	99	ממש	193609
99	100	אלוהים	193433
100	101	ובכן	192081
